,titles,,
23,"'오미크론' 우려 줄자 주요국 증시 상승 마감…나스닥 3.03%↑||||뉴욕증시, 오미크론 우려 완화에 급반등···나스닥 3.03% 상승 마감||||뉴욕증시, 오미크론 우려 완화돼 이틀 연속 반등…나스닥 3%↑||||오미크론 우려 덜어낸 뉴욕증시…기술주 주도 상승||||뉴욕증시, 오미크론 완화에 급반등…나스닥 3.03%↑",'3.03%'||||'3.03%'||||'3.03%','3.03'||||'3.03'||||'3.03'
24,"[종합] '놀토' 넉살의 갈비는 플라스틱 모형 → 오마이걸 깜짝 출연||||'놀토' 200회, 방탈출→오마이걸과 간식 게임 팀전 '웃음 보장'(종합)||||'놀토' 200회 특집 방탈출→팀전 간식게임까지 '썸띵 뉴'…오마이걸 깜짝 등장(종합)||||한해, 방탈출 실패한 피오에 ""민낯이 드러났다"" (놀토)[종합]||||'놀토' 200회 특집…'방탈출 꼴찌' 넉살→'첫 도전' 붐까지[★밤TView]",'200회'||||'200회'||||'200회','200'||||'200'||||'200'
25,"백신 이상반응 1천73건 늘어 총 6천859건…추가 사망신고 없어||||백신접종 13일만에 50만명, 국민 0.97%…이상반응 1073건 늘어||||코로나19 신규확진 465명…백신 이상반응 1073건 추가||||서울 접종 대상자 '절반' 1차 접종 끝…백신 이상반응 848건||||백신접종 14일째 대구 접종률 61.5%….이상반응 누적 277건",'1천73건'||||'6천859건'||||'50만명'||||'0.97%'||||'1073건'||||'465명'||||'1073건'||||'848건'||||'61.5%'||||'277건',"'1,073'||||'6,859'||||'500,000'||||'0.97'||||'1073'||||'465'||||'1073'||||'848'||||'61.5'||||'277'"
26,"[단독] 이철규 의원 딸·아들 '수상한 영끌'…편법증여 의혹||||'편법증여 의혹' 이철규 아들, 6억4천만원 전세에 5억9천만원 빚||||이철규도 사퇴…尹캠프, '부동산 의혹' 5명 중 4명 떠나||||'편법증여 의혹' 이철규도 윤석열 캠프 보직 사퇴||||'부동산 의혹' 이철규, 尹캠프 사퇴…""누 끼치고 싶지 않다""",,
27,"김현아 SH사장 후보자, 논란의 '부동산 4채' 들여다보니||||'다주택 논란'에 몸 낮춘 김현아 ""'시대적 특혜' 발언 사과…부동산 2채 팔겠다""||||'다주택 논란' 김현아 SH사장 후보자 ""부산 아파트·오피스텔, 빠른 시일 내 매각""||||노영민 비꼬았던 김현아 SH사장 후보자 '내로남불' 논란||||""집 팔겠다"" 몸낮춘 김현아…고심 깊어진 오세훈(종합)",,
28,"김은희 작가 ""♥장항준과 인생 함께 하게 되어 좋아""(집사부일체)[종합]||||'집사부일체' 김은희 작가, 서인선 검사+장항준 감독에게 도움 받아…""나의 조력자""(종합)||||""배우자로 일확천금 노리냐"" '집사부' 장항준 감독, 결혼잘한 3대男에 ""김은희 덕, 한 몫 잡기도"" [종합]||||[종합] '집사부일체' 김은희 작가, 상상→현실 만드는 살아있는 드라마 역사||||""'킹덤'은 내 아이디어"" '집사부' 김은희·장항준, 티격태격 부부 케미(종합)",,
29,"""윤박 만나지마"" '첫방' 소시오패스 정체 알게된 김동욱, 서현진에 만남 만류 ('너는나의봄') [종합]||||강렬 첫방 '너는 나의 봄', 서현진 좋아하는 윤박, 소시오패스? [종합]||||심리치료멜로 '너는 나의 봄', 서현진·김동욱 저력 (첫방) [종합]||||'너는 나의 봄' 김동욱, 윤박=소시오패스 확신…서현진에 ""그 남자 만나지마""(종합)||||첫방 '너나봄' 김동욱, 소시오패스 윤박에 ""서현진 만나지 마""[★밤TView]",,
30,"수도권은 '5인 이상 집합금지' 유지…새 거리두기 일주일 유예||||'6인 안내문' 붙였다 뗀 자영업자들 ""이날만 기다렸는데…확산세 잡히길"" [수도권 거리두기 1주일 연장]||||인천시 등 수도권 '사회적거리두기 2단계' 1주일 연장||||서울·경기·인천 '5인 이상 모임 금지' 1주일 더 유지···수도권 확산세 우려||||확진자 급증·델타 변이 확산에…수도권 새 거리두기, 결국 '1주 유예'(종합2보)",,
31,"'오미크론 유입 막아라' 정부 ""입국제한 국가 확대 검토""||||""현재 보급된 변이 PCR검사로 '오미크론' 안 잡힌다""…8개국 이어 입국금지 확대되나||||'오미크론' 유입 차단…""입국제한 8개국에서 추가 확대""||||'오미크론 변이 공포'…남아공 등 8개국 입국 금지||||오미크론 공포에 지구촌 '벌벌'…정부, 아프리카 8개국 입국금지",,
32,"방탄소년단, 빌보드 싱글차트 2주 연속 1위||||방탄소년단, 2주 연속 세계 최정상 지켰다…빌보드 '핫100' 1위||||""역대 20번째 기록""…방탄소년단(BTS) 'Dynamite', 빌보드 핫 100 차트 2주 연속 1위 달성||||방탄소년단, 빌보드 핫100 2주 연속 1위 [공식]||||방탄소년단(BTS), '다이너마이트(Dynamite)' 빌보드 싱글차트 2주 연속 1위",,
